,0.0.0.0,0.1.0.0,0.1.0.1,0.2.0.0,1.0.0.0,2.0.0.0,2.0.0.1,2.0.1.0
0,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1
25,1,1,1,2,1,1,1,1
26,1,1,1,2,1,1,1,1
27,1,1,1,2,1,1,1,1
28,2,1,2,2,1,1,1,1
29,2,2,2,4,1,1,1,1
30,2,2,4,4,1,1,1,1
31,2,3,4,4,1,1,1,1
32,2,3,4,4,1,1,1,1
33,2,3,4,4,1,1,1,1
34,2,3,4,4,1,1,1,1
35,2,3,4,4,1,1,1,1
36,2,3,9,4,2,1,1,1
37,5,9,9,4,2,1,1,1
38,5,9,9,9,2,1,1,1
39,9,9,9,9,2,1,1,1
40,9,9,9,9,2,1,1,1
41,9,9,9,9,2,1,1,1
42,9,9,9,9,2,1,1,1
43,9,9,9,9,2,1,1,1
44,9,9,9,9,2,1,1,1
45,9,9,9,9,2,1,1,1
46,9,9,9,9,2,1,1,1
47,9,9,9,9,5,1,1,1
48,9,9,9,9,5,1,1,1
49,9,9,9,9,5,1,1,1
50,9,9,9,9,5,1,1,1
51,9,9,9,9,5,1,1,1
52,9,9,9,9,5,1,1,1
53,9,9,9,9,5,1,1,1
54,9,9,9,9,5,1,1,1
55,9,9,9,9,5,1,1,1
56,9,9,9,9,5,1,1,1
57,9,9,9,9,5,1,1,1
58,9,9,9,9,5,1,1,1
59,9,9,9,9,5,1,1,1
60,9,9,9,9,9,1,1,1
61,9,9,9,9,9,1,1,1
62,9,9,9,9,9,1,1,1
63,9,9,9,9,9,1,1,1
64,9,9,9,9,9,1,1,1
65,9,9,9,9,9,1,1,1
66,9,9,9,9,9,1,1,1
67,9,9,9,9,9,1,1,1
68,9,9,9,9,9,1,1,1
69,9,9,9,9,9,1,1,1
70,9,9,9,9,9,1,1,1
71,9,9,9,9,9,1,1,1
72,9,9,9,9,9,1,1,1
73,9,9,9,9,9,1,1,1
74,9,9,9,9,9,1,1,1
75,9,9,9,9,9,1,1,1
76,9,9,9,9,9,1,1,1
77,9,9,9,9,9,1,1,1
78,9,9,9,9,9,1,1,1
79,9,9,9,9,9,1,1,1
80,9,9,9,9,9,1,1,1
81,9,9,9,9,9,1,1,1
82,9,9,9,9,9,1,1,1
83,9,9,9,9,9,1,1,1
84,9,9,9,9,9,1,1,1
85,9,9,9,9,9,1,1,1
86,9,9,9,9,9,1,1,1
87,9,9,9,9,9,1,1,1
88,9,9,9,9,9,1,1,1
89,9,9,9,9,9,1,1,1
90,9,9,9,9,9,1,1,1
