cell,microcell,household,Susceptible
0,0,0,1
0,1,0,2
0,1,1,1
0,2,0,1
0,3,0,1
0,7,0,2
0,8,0,1
0,9,0,1
0,11,0,3
0,12,0,2
0,17,0,1
0,18,0,1
0,20,0,1
0,23,0,1
0,24,0,1
0,25,0,1
0,25,1,1
0,27,0,1
0,28,0,1
0,30,0,1
0,33,0,2
0,33,1,1
0,34,0,2
0,34,1,1
0,35,0,2
0,38,0,1
0,39,0,1
0,41,0,1
0,43,0,1
0,43,1,1
0,43,2,1
0,45,0,1
0,46,0,1
0,47,0,1
0,48,0,1
0,50,0,2
0,50,1,2
0,51,0,2
0,52,0,1
0,52,1,2
0,53,0,2
0,54,0,1
0,55,0,2
0,60,0,1
0,62,0,1
0,62,1,1
0,63,0,1
0,65,0,1
0,67,0,2
0,69,0,4
0,70,0,2
0,73,0,2
0,74,0,2
0,75,0,1
0,75,1,1
0,76,0,2
0,78,0,1
0,79,0,1
0,79,1,1
1,0,0,3
1,0,1,2
1,0,2,1
1,0,3,5
1,0,4,3
1,1,0,2
1,1,1,1
1,1,2,3
1,1,3,5
1,1,4,2
1,1,5,3
1,1,6,5
1,2,0,3
1,2,1,2
1,2,2,2
1,2,3,1
1,2,4,4
1,2,5,3
1,2,6,2
1,3,0,1
1,3,1,2
1,3,2,2
1,3,3,1
1,3,4,1
1,3,5,4
1,3,6,1
1,3,7,2
1,3,8,4
1,3,9,1
1,3,10,4
1,3,11,2
1,4,0,2
1,4,1,1
1,4,2,5
1,4,3,3
1,4,4,3
1,5,0,2
1,5,1,1
1,5,2,2
1,5,3,3
1,5,4,3
1,5,5,2
1,5,6,2
1,5,7,2
1,6,0,2
1,6,1,2
1,6,2,1
1,6,3,2
1,6,4,6
1,7,0,1
1,7,1,1
1,7,2,1
1,7,3,4
1,7,4,1
1,7,5,4
1,7,6,2
1,7,7,3
1,7,8,4
1,7,9,2
1,7,10,2
1,8,0,2
1,8,1,4
1,8,2,3
1,8,3,2
1,8,4,3
1,8,5,1
1,8,6,2
1,8,7,1
1,8,8,2
1,8,9,2
1,8,10,1
1,9,0,3
1,9,1,4
1,9,2,1
1,9,3,1
1,9,4,3
1,9,5,4
1,10,0,2
1,10,1,3
1,10,2,2
1,10,3,4
1,10,4,3
1,10,5,4
1,10,6,2
1,11,0,2
1,11,1,2
1,11,2,1
1,11,3,4
1,11,4,2
1,11,5,2
1,11,6,1
1,11,7,1
1,11,8,3
1,11,9,3
1,11,10,1
1,12,0,1
1,12,1,1
1,12,2,2
1,12,3,2
1,12,4,1
1,12,5,4
1,12,6,2
1,12,7,1
1,12,8,2
1,12,9,2
1,12,10,1
1,13,0,2
1,13,1,3
1,13,2,1
1,13,3,5
1,13,4,3
1,13,5,2
1,13,6,3
1,14,0,8
1,14,1,2
1,14,2,3
1,14,3,2
1,15,0,4
1,15,1,1
1,15,2,4
1,15,3,2
1,15,4,1
1,15,5,1
1,16,0,1
1,16,1,2
1,16,2,1
1,16,3,4
1,16,4,3
1,16,5,5
1,16,6,3
1,16,7,3
1,16,8,2
1,17,0,3
1,17,1,3
1,17,2,4
1,17,3,2
1,17,4,2
1,17,5,1
1,17,6,3
1,17,7,2
1,17,8,3
1,17,9,1
1,18,0,6
1,18,1,2
1,18,2,3
1,18,3,2
1,18,4,2
1,18,5,5
1,19,0,1
1,19,1,3
1,19,2,3
1,19,3,3
1,19,4,1
1,19,5,2
1,19,6,3
1,20,0,4
1,20,1,1
1,20,2,3
1,20,3,1
1,20,4,4
1,20,5,4
1,21,0,3
1,21,1,2
1,21,2,2
1,21,3,3
1,21,4,1
1,21,5,2
1,21,6,8
1,22,0,4
1,22,1,1
1,22,2,2
1,22,3,4
1,22,4,1
1,22,5,2
1,22,6,1
1,22,7,4
1,22,8,3
1,22,9,2
1,23,0,4
1,23,1,3
1,23,2,1
1,23,3,1
1,23,4,5
1,23,5,3
1,23,6,4
1,23,7,1
1,23,8,1
1,24,0,2
1,24,1,2
1,24,2,1
1,24,3,3
1,24,4,1
1,24,5,1
1,24,6,4
1,24,7,4
1,24,8,3
1,25,0,1
1,25,1,1
1,25,2,3
1,25,3,8
1,25,4,2
1,25,5,4
1,26,0,1
1,26,1,1
1,26,2,3
1,26,3,1
1,26,4,1
1,26,5,1
1,26,6,1
1,26,7,3
1,27,0,4
1,27,1,2
1,27,2,1
1,27,3,1
1,27,4,5
1,27,5,1
1,28,0,2
1,28,1,3
